n=47 p=23 N= 3 v=1 q=1081 m=70 d=23 t=23 delta=1 p|n-1=True | W=[1, 22, 23] | d-W1=1 pred=1 W2full=True OK  [0.2s]
n=47 p=23 N= 5 v=1 q=1081 m=117 d=23 t=23 delta=1 p|n-1=True | W=[1, 22, 23] | d-W1=1 pred=1 W2full=True OK  [0.3s]
n=47 p=29 N= 1 v=1 q=1363 m=23 d=23 t=23 delta=1 p|n-1=False | W=[1, 22, 23] | d-W1=1 pred=1 W2full=True OK  [0.2s]
n=47 p=31 N= 1 v=1 q=1457 m=23 d=23 t=23 delta=1 p|n-1=False | W=[1, 22, 23] | d-W1=1 pred=1 W2full=True OK  [0.1s]
n=53 p= 3 N= 1 v=2 q=477 m=26 d=26 t=52 delta=0 p|n-1=False | W=[1, 26, 26] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=53 p= 5 N= 1 v=1 q=265 m=26 d=26 t=52 delta=0 p|n-1=False | W=[1, 26, 26] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=53 p= 7 N= 1 v=1 q=371 m=26 d=26 t=52 delta=0 p|n-1=False | W=[1, 26, 26] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=53 p=11 N= 1 v=1 q=583 m=26 d=26 t=52 delta=0 p|n-1=False | W=[1, 26, 26] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=53 p=13 N= 1 v=1 q=689 m=26 d=26 t=52 delta=0 p|n-1=True | W=[1, 26, 26] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=53 p=13 N= 3 v=1 q=689 m=79 d=26 t=52 delta=0 p|n-1=True | W=[1, 26, 26] | d-W1=0 pred=0 W2full=True OK  [0.4s]
n=53 p=13 N= 5 v=1 q=689 m=132 d=26 t=52 delta=0 p|n-1=True | W=[1, 26, 26] | d-W1=0 pred=0 W2full=True OK  [0.3s]
n=53 p=17 N= 1 v=1 q=901 m=26 d=26 t=52 delta=0 p|n-1=False | W=[1, 26, 26] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=53 p=19 N= 1 v=1 q=1007 m=26 d=26 t=52 delta=0 p|n-1=False | W=[1, 26, 26] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=53 p=23 N= 1 v=1 q=1219 m=26 d=26 t=52 delta=0 p|n-1=False | W=[1, 26, 26] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=53 p=29 N= 1 v=1 q=1537 m=26 d=26 t=52 delta=0 p|n-1=False | W=[1, 26, 26] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=53 p=31 N= 1 v=1 q=1643 m=26 d=26 t=52 delta=0 p|n-1=False | W=[1, 26, 26] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=59 p= 5 N= 1 v=1 q=295 m=29 d=29 t=58 delta=0 p|n-1=False | W=[1, 29, 29] | d-W1=0 pred=0 W2full=True OK  [0.3s]
